platform,domain,audited_at,http_status,seed_list_count,business_model,paid_link_rel,free_link_rel,rel_inversion,paid_passes_pagerank,guarantees_dr,guarantees_dr_quote,badge_required_free,claims_owned_network,owner_entity,network_id_ga,network_id_other,price_usd,claimed_link_count,price_per_link,server_rendered_words,js_required,ai_crawlers_allowed,claims_unsubmittable_platforms,dark_patterns,evidence_file,notes
Checking your browser,f6s.com,2026-08-31,200,0,unclear,unknown,unknown,False,False,False,,False,False,F6S Network Global Limited,,ip:18.239.183.117;favicon:d3ee76bc518a11aa,unknown,unknown,,66,True,True,False,,raw/f6s.com__*.html (not committed; kept locally),"Home, pricing, and submit pages served an anti-bot 'Checking your browser' challenge with no content. Terms page loaded successfully and names 'F6S Network Global Limited' (registered in Dublin, Ireland) as the operating entity; no pricing or listing-link data was observable."
Fazier,fazier.com,2026-08-31,200,2,destination,dofollow,unknown,False,True,True,Guaranteed high-authority backlink (DR 82+),True,False,,G-2CK48EFTLD,ip:104.21.82.29;favicon:40e03f95424c71d2,29,unknown,,2119,False,True,False,,raw/fazier.com__*.html (not committed; kept locally),Free tier requires a backlink to Fazier (homepage/footer); Premium/Super tiers state 'Guaranteed high-authority backlink (DR 82+)'. Sponsor ad links carry rel=noopener (dofollow); organic listings link to internal /launches/ pages. Footer lists a '100+ Directories Submission Service' add-on.
Firsto,firsto.co,2026-08-31,200,2,destination,nofollow,nofollow,False,False,True,Guaranteed DF backlinks (DR59+),False,False,Firsto,,ip:104.21.31.143;favicon:bfd419703336e0e0,19.9,unknown,,1706,False,True,False,,raw/firsto.co__*.html (not committed; kept locally),Pricing states 'Guaranteed DF backlinks (DR59+)' for Premium/Pro tiers. Free tier's DF backlink for top-3 daily launches requires adding a badge; the base free listing does not. Featured (paid) and organic homepage listings both carry rel=nofollow in fetched markup.
FoundrList,foundrlist.com,2026-08-31,200,2,destination,dofollow,nofollow,True,True,True,Guaranteed dofollow backlink (DR 73+),True,False,"FoundrList, Inc.",,ip:216.150.1.1;favicon:4d90a3d9f349d1f0,29,100,0.29,2130,False,True,False,,raw/foundrlist.com__*.html (not committed; kept locally),"Paid tiers ($29/$39) list 'No badge verification needed', implying badge verification applies to the free tier. Also sells a separate directory submission service (50 or 100 directories, $179/$279, '15,000+' not claimed here)."
HuntScreens,huntscreens.com,2026-08-31,200,0,destination,dofollow,none_observed,False,True,True,Get a permanent do-follow backlink from our high-authority site (DR 50+).,False,False,HuntScreens,,ip:104.21.37.163;favicon:6889148a4a580966,10,unknown,,1945,False,False,False,,raw/huntscreens.com__*.html (not committed; kept locally),Submit page sells a $79 dofollow backlink add-on quoted as 'DR 50+'. Hero banner ad-slot links (rel=noopener) are dofollow; home-feed product cards route through internal /products/ pages rather than direct outbound URLs.
Indie Hackers: Work Together to Build Profitable Online Businesses,indiehackers.com,2026-08-31,200,2,destination,none_observed,none_observed,False,False,False,,False,False,"Indie Hackers, Inc.",G-W1TFN9RN75;UA-81418423-2,ip:104.26.13.75;favicon:cc89b5788366a83e,unknown,unknown,,1473,False,True,False,,raw/indiehackers.com__*.html (not committed; kept locally),"Community/product-database site; homepage outbound links are limited to social profiles, with product/story cards linking to internal pages. No DR/backlink guarantees found. 'Subscribe to IH+' is a paid content subscription, not a listing placement."
IndieHunt,indiehunt.io,2026-08-31,200,2,destination,dofollow,nofollow,True,True,False,,True,False,IndieHunt,G-N8H02J9N9H,ip:216.150.16.193;favicon:57a1bbd1bd01a291,19,unknown,,2443,False,True,False,,raw/indiehunt.io__*.html (not committed; kept locally),Free tier is 'nofollow by default' and 'IndieHunt badge/backlink required on your website'; Premium ($19) is 'Guaranteed dofollow backlink' with no badge and no specific DR number stated. Footer links to /distribution/posting-dude; terms describe Aura++ as an 'advertising partner'.
100+ Best Startup Directories to Launch,launchdirectories.com,2026-08-31,200,0,submission_service,dofollow,dofollow,False,True,False,,False,False,LaunchDirectories,,ip:172.67.131.221;favicon:b2e0d4eca6123c81,99,15000,0.0066,1200,False,False,False,,raw/launchdirectories.com__*.html (not committed; kept locally),"Primary product is a paid directory-submission service (30/60/100 directories, $99-$249); site also hosts a browsable database of third-party directories with no free self-listing option. FAQ states they 'intentionally skip high-impact platforms like Product Hunt'. Claims '15,000+ Backlinks Built'."
LaunchIgniter,launchigniter.com,2026-08-31,200,0,destination,dofollow,dofollow,False,True,True,Lifetime dofollow backlink ( DR 74 ),True,True,LaunchIgniter,G-6N2CY139B1,ip:104.21.41.53;favicon:addf2dc3283f6750,12,unknown,,1384,False,True,False,,raw/launchigniter.com__*.html (not committed; kept locally),"Free-tier alternatives (outdr.lol, StartupTrusted) require adding their badge to qualify for a dofollow link. Footer lists StartupTrusted, SaaSGrow, outdr.lol, AppPage, DeepCleanMac under a 'Projects' heading; Pro tier ($15) bundles guaranteed backlinks from StartupTrusted and SaaSGrow."
Launching Next,launchingnext.com,2026-08-31,200,2,destination,unknown,none_observed,False,False,False,,False,False,Launching Next,G-881Z2PJ2C4,ip:104.21.2.13,unknown,unknown,,391,False,True,False,,raw/launchingnext.com__*.html (not committed; kept locally),"/pricing and /terms routes served the homepage; /submit returned a bot-verification interstitial ('One moment, please...'), so submission pricing and any badge requirement could not be confirmed. Homepage startup listings link to internal pages, not outbound URLs."
Launch Llama Newsletter: 5 New Tools for Founders Every Tuesday,launchllama.co,2026-08-31,200,2,destination,none_observed,none_observed,False,False,False,,False,False,Launch Llama,GTM-TWRC6Z3Q,pk_live_51IekcQKHPFAlBzyyGNBguT5BEI7NEBqrTxJhsYN1FI1lQb9iWxU5U2OXfi744NEMx5p7EDXh08YXrudrZkkG9bGc00ZCrkXrxL;ip:104.16.243.55,unknown,unknown,,1237,False,True,False,,raw/launchllama.co__*.html (not committed; kept locally),"/pricing, /submit, /terms, /privacy on the apex domain returned 404; the directory, newsletter-ad sales ('Advertise'), and 'directory-backlink-service' pages live on tools.launchllama.co, not in the fetched page set. A live Stripe publishable key is embedded sitewide."
LaunchPanda,launchpanda.dev,2026-08-31,200,0,submission_service,unknown,unknown,False,False,True,"1 free auto-launch on a 54 DR site, an instant backlink the moment you join",False,False,Welsenes Brothers V.O.F.,,ip:216.150.1.1;favicon:83583d9f936ff8f6,29,267,0.1086,1092,False,True,False,,raw/launchpanda.dev__*.html (not committed; kept locally),"Tool matches users to third-party directories and autofills submission forms rather than hosting listings itself; Pro Max ($29 one-time) unlocks the full 267+ directory list and a Chrome autofill extension. Outbound links go to catalogued third-party directories, not paid/free placements sold by LaunchPanda."
ListingBott,listingbott.com,2026-08-31,200,0,submission_service,unknown,unknown,False,False,True,We guarantee a Domain Rating (DR) increase from 0 to 15 within 2 months after the ListingBott report.,False,False,"ListingBott.com, member of MarsX.dev",G-RRJHKD78S6;GTM-5L94Q687,ip:172.66.44.111,499,100,4.99,1685,False,True,True,,raw/listingbott.com__*.html (not committed; kept locally),"Submission service; homepage 'Where We List You' preview includes Product Hunt (href producthunt.com, DR90) with its own 'Submit' button among 100+ target directories. Premium partner directories offered at discount, not stated as owned by ListingBott. No free tier."
Submit Your SaaS to 100+ Startup Directories,listmy.site,2026-08-31,200,0,submission_service,unknown,unknown,False,False,False,,False,False,SS ENTERPRISES,G-8ZQ2NVJMXV,ip:216.198.79.1,99,100,0.99,952,False,True,True,,raw/listmy.site__*.html (not committed; kept locally),"One-time paid submission service ($99 limited-offer banner for 60 submissions; $169 standard listed price for 100). Copy: 'We manually submit your site to high authority platforms like Product Hunt, G2, Hacker News.' No public listing feed to grade outbound rel; pricing/submit/privacy/terms pages are 404."
MakerHunt,makerhunt.io,2026-08-31,200,0,destination,dofollow,nofollow,True,True,False,,True,False,MakerHunt,,ip:216.150.1.1;favicon:ee1682ac3f72146e,19,unknown,,907,False,True,False,,raw/makerhunt.io__*.html (not committed; kept locally),"Weekly hunt/destination. Pricing page: Free tier requires 'MakerHunt badge required on website', nofollow by default, dofollow only if product wins top 3; Premium ($19) gets 'Guaranteed dofollow backlink', no badge. Sidebar has a sponsored+nofollow ad for postingdude.com (Aura++/DR Booster)."
World-class Tech Products on Microlaunch,microlaunch.net,2026-08-31,200,2,destination,unknown,unknown,False,False,True,Lifetime SEO - DR60+ Do-follow Backlinks.,False,False,Microlaunch (by Stimpack),,ip:104.26.11.14;favicon:001c3df59e1f7eb7,39,unknown,,2019,False,True,False,,raw/microlaunch.net__*.html (not committed; kept locally),"Destination selling Pro Launch ($39, -20% from $49) and a separate product-review add-on ($129/$149). No 'DR guarantee to you' language beyond the DR60+ backlink-source claim. Outbound links to individual listed products were not present as static <a> tags in fetched HTML, so rel could not be graded."
Open Source Alternatives to Popular Software,openalternative.co,2026-08-31,200,2,destination,dofollow,unknown,False,True,False,,False,True,Piotr Kulpinski,,ip:172.67.216.5;favicon:2ced3a7481dc9735,unknown,unknown,,2545,False,True,False,,raw/openalternative.co__*.html (not committed; kept locally),"Open-source alternatives directory. Sponsor 'Ad' banner links (e.g. theopenlane.io, influxdata.com) carry rel=noopener only (dofollow). Footer: 'Other Products: Dirstarter TerminalDock EuroAlternative DevSuite Revinel... Made by Piotr Kulpinski.' Outbound links for individual listed alternatives not present in static HTML."
Vercel Security Checkpoint,outbid.lol,2026-08-31,429,0,unclear,unknown,unknown,False,False,False,,False,False,,,ip:216.150.1.193,unknown,unknown,,18,True,True,False,,raw/outbid.lol__*.html (not committed; kept locally),"All fetched pages (home, pricing, submit, privacy, terms, robots) returned a Vercel bot-check page (HTTP 429) with no site content; nothing could be graded from source beyond this."
Peerlist,peerlist.io,2026-08-31,200,2,destination,unknown,unknown,False,False,False,,False,False,"Peerlist, Inc.",UA-163491517-1,ip:104.26.0.190;favicon:b97724ab78f057a3,unknown,unknown,,619,False,True,False,,raw/peerlist.io__*.html (not committed; kept locally),"Professional network with a weekly 'Launchpad' for project launches, plus jobs board and a new 'Peerlist Ads' feature. Pricing/submit/privacy/terms fetches returned 404; home page is largely client-rendered (619 server words) with no member-listing outbound links captured."
PeerPush,peerpush.com,2026-08-31,200,1,destination,sponsored+nofollow,sponsored+nofollow,False,False,False,,False,False,PeerPush,,ip:172.67.173.146;favicon:57f4b433ff23a046,39,unknown,,2720,False,True,False,placeholder_text_in_prod,raw/peerpush.com__*.html (not committed; kept locally),"JSON-LD identifies org as 'PeerPush' with alternateName ['PeerPush.com','PeerPush.net']; canonical is peerpush.com. Standard $39 / +7d $89 / +30d $229; free tier queues. All sampled outbound product links (paid and free) uniformly carry rel='sponsored nofollow noopener'. Blog/Deals/Hall of Fame render literal 'Skeleton ...' placeholder text."
PeerPush,peerpush.net,2026-08-31,200,2,destination,sponsored+nofollow,sponsored+nofollow,False,False,False,,False,False,PeerPush,,ip:172.67.139.179;favicon:57f4b433ff23a046,39,unknown,,2748,False,True,False,placeholder_text_in_prod,raw/peerpush.net__*.html (not committed; kept locally),"Same product/company as peerpush.com: page's own <link rel=canonical> points to https://peerpush.com and JSON-LD Organization lists both domains as alternateName of a single 'PeerPush' org. Content, pricing ($39/$89/$229), and 'Skeleton' placeholder blocks are near-identical to peerpush.com."
PitchWall,pitchwall.co,2026-08-31,200,2,destination,dofollow,nofollow,True,True,True,Do-follow backlink (DR 70),False,False,PitchWall,,ip:104.21.42.198;favicon:0104c90fb7683f7a,49,unknown,,807,False,True,False,,raw/pitchwall.co__*.html (not committed; kept locally),"Submit page lists 'Do-follow backlink (DR 70)' as a feature of Free, Pro ($49), and Premium ($99) tiers. However, sampled /out/ redirect links in the homepage 'New Products' feed (incl. one product carrying a 'Featured' badge) all carry rel='noopener nofollow'; a sponsor ad slot (naise.ai) carries no rel attribute (dofollow)."
Content Marketing &amp; Distribution for Indie Founders,postingdude.com,2026-08-31,200,0,owned_network,unknown,unknown,False,False,False,,False,True,Posting Dude,,ip:216.150.16.193;favicon:7be9d7f18c2a92e6,249,unknown,,496,False,True,False,,raw/postingdude.com__*.html (not committed; kept locally),"Site text: 'one published article on each of our six owned platforms—Aura++, IndieHunt, EarlyHunt, Uno Directory, MakerHunt, and SideHunt—without exception.' Content-marketing subscription service, no public member-listing feed to grade for link rel."
Just a moment...,producthunt.com,2026-08-31,403,3,unclear,unknown,unknown,False,False,False,,False,False,"Domains By Proxy, LLC",,ip:104.18.127.118;favicon:d5879e90c3ac1b0b,unknown,unknown,,3,True,True,False,,raw/producthunt.com__*.html (not committed; kept locally),"All fetched pages (home, pricing, submit, privacy, terms) served a Cloudflare 'Just a moment...' interstitial with no rendered page content (HTTP 403). Most fields could not be determined from available evidence."
SaaSGrow,saasgrow.app,2026-08-31,200,2,destination,dofollow,unknown,False,True,False,,True,False,SaaSGrow,G-T6C3WXLVMD,ip:104.21.81.78;favicon:788fbc9b703ce9a6,9,unknown,,709,False,True,False,,raw/saasgrow.app__*.html (not committed; kept locally),"Free tier: 'Badge verification required...Your listing will be approved once the badge is verified on your site.' Sponsors-section links carry rel=noopener noreferrer dofollow. Member-listing cards link to internal /saas/ pages, not directly to external member sites."
SaaSHub,saashub.com,2026-08-31,200,2,destination,sponsored,nofollow,False,False,False,,False,False,,G-NYMJ06T9B8,ip:104.26.2.171,99,unknown,,4652,False,True,False,,raw/saashub.com__*.html (not committed; kept locally),Sidebar-featured paid placements carry rel=sponsored; above-footer paid placements carry rel=nofollow sponsored. Organic listing links carry rel=nofollow. Pricing FAQ: 'we cannot guarantee any specific number of clicks.' Privacy/Terms pages 404.
ScrollLaunch,scrolllaunch.com,2026-08-31,200,0,destination,dofollow,dofollow,False,True,False,,True,False,ScrollLaunch,G-3WE3LRWWH3,ip:216.150.1.1;favicon:357dd3f1bda845b5,19,1017,0.0187,1092,False,True,False,,raw/scrolllaunch.com__*.html (not committed; kept locally),"Premium/Premium+ product-page backlink is 'always dofollow'; free listing is dofollow 'only while the ScrollLaunch badge...remains on the maker's website,' else nofollow. Terms: 'We do not guarantee any specific Domain Rating (DR).' Also sells a $99-199 add-on submitting to 30-100+ third-party directories (not owned)."
Weekly hunt for side projects &amp; indie launches,sidehunt.io,2026-08-31,200,2,destination,dofollow,nofollow,True,True,False,,True,False,Sidehunt,,ip:216.150.16.129;favicon:a409d30adad24b2a,19,unknown,,946,False,True,False,,raw/sidehunt.io__*.html (not committed; kept locally),"Free Launch: badge required, 'Nofollow links by default,' dofollow+badge only if top-3 winner. A separate no-badge 'Nofollow Launch' free tier stays nofollow always. Premium ($19) states 'Guaranteed dofollow backlink.' Terms list Aura++ as a third-party sponsor link, not a commonly owned platform."
"Sell, buy, show off your side projects",sideprojectors.com,2026-08-31,200,2,destination,unknown,unknown,False,False,False,,False,False,,G-LYF1JCFY26,ip:104.21.85.92,unknown,unknown,,1990,False,True,False,,raw/sideprojectors.com__*.html (not committed; kept locally),"Home, pricing, submit, privacy, and terms pages all served byte-identical SPA shell content; no pricing figures or outbound links to listed member projects were present in the server-rendered HTML."
Just a moment...,softwareworld.co,2026-08-31,403,2,unclear,unknown,unknown,False,False,False,,False,False,"Domains By Proxy, LLC",,ip:172.67.68.67,unknown,unknown,,3,True,True,False,,raw/softwareworld.co__*.html (not committed; kept locally),All fetched pages served a Cloudflare 'Just a moment...' interstitial with no rendered page content (HTTP 403); robots.txt loaded normally. Most fields could not be determined from available evidence.
"Startup Platform for Founders, Investors &amp; Talent",startupa.ge,2026-08-31,200,0,destination,unknown,unknown,False,False,False,,False,False,,,ip:216.150.1.1;favicon:9a28290010a93a58,unknown,unknown,,998,False,False,False,,raw/startupa.ge__*.html (not committed; kept locally),"Pricing page returned content identical to home with no price figures; Terms confirm free and premium account tiers billed via Stripe, but no dollar amount appears in fetched pages. No dofollow/nofollow/backlink/DR language found anywhere on the site."
StartupBase,startupbase.io,2026-08-31,200,2,destination,dofollow,nofollow,True,True,True,"🚀 Launch from $15 permanent listing, DR 72 backlink",False,False,Fore Studio,G-PFVLSPPFCH,ip:104.21.40.101,15,unknown,,1416,False,True,False,,raw/startupbase.io__*.html (not committed; kept locally),Sitewide banner (seen on terms/privacy pages) advertises a DR 72 backlink from $15. Top-8 paid 'Outrank' placements carry rel=noopener (dofollow); regular daily launch links mostly carry rel=nofollow noopener noreferrer. Pricing page (/pricing) is a 404.
Discover Profitable Startups &amp; Online Business Ideas,startups.fyi,2026-08-31,200,2,destination,dofollow,none_observed,False,True,False,,False,False,,G-85VPXB1ZP6;G-BEK92T2L44;GTM-P74HGJG,ip:198.202.211.1,unknown,unknown,,2458,False,True,False,,raw/startups.fyi__*.html (not committed; kept locally),"Every homepage placement is labeled 'Sponsored'; outbound links carry rel="""" (dofollow). No distinct free/organic listing section found. Pricing and submit pages return 404."
Submit your Startup to 220+ Directories,startupsubmit.app,2026-08-31,200,0,submission_service,unknown,unknown,False,False,True,DR 30-40+ guaranteed,False,False,Web Sparked LLC,G-9Q6H0QETRF;UA-26575989-46,ip:92.112.198.41,99,220,0.45,3384,False,True,True,countdown_reset_on_deploy,raw/startupsubmit.app__*.html (not committed; kept locally),"HTML contains a developer comment: 'BEFORE DEPLOY: set data-deadline to 7 days from the moment you push' to relaunch the countdown offer. Directory list names Product Hunt, Hacker News and AppSumo as submission targets. No public member-listing feed to grade link rel on."
StartupTrusted,startuptrusted.com,2026-08-31,200,2,destination,dofollow,unknown,False,True,False,,True,False,StartupTrusted,G-4N87EGLCX5,ip:194.163.137.195;favicon:2b8ad2d33455a8f7,11,unknown,,1060,False,True,False,,raw/startuptrusted.com__*.html (not committed; kept locally),"Pricing page: 'List free by adding our badge to your site' (FREE $0); PRO $11 gives an instant dofollow backlink without a badge; FEATURED $19 adds homepage placement. Featured-section outbound links carry rel=""noopener"" only. Recent-listings links go to internal /startup/ pages, so their outbound rel isn't observable."
