group,note_id,llm_likelihood,signal_type,primary_signal
2026_meta,QmB0w7ox2n,25,substance,"This is an area-chair meta-review with concrete reviewer IDs, scores, and specific unaddressed details (sample counts, object types, real-world evaluation refus"
2026_meta,gnR5MpleQA,25,substance,"Meta-review with specific reviewer IDs, scores, and per-concern resolution tracking; slight grammar slips ('concerns were sufficiently addressed', 'is like to m"
2026_meta,8lSXBxQfSr,78,structure,"Fluent, uniformly structured meta-review with generic phrasing ('important problem', 'promising empirical trends') and symmetric per-reviewer summaries lacking "
2026_review,uEQsZs5r9A,18,substance,"Highly specific engagement: named figures/appendices, hyperparameter symbols, reviewer-supplied citations, and personal uncertainty ('please correct me if I'm w"
2024_review,pfPVV3Ta84,29,substance,"Substantive, opinionated critique with specific domain analogies (navigate_to atomic op, GSM8K/PAL comparison) and reviewer-supplied outside knowledge; slight s"
2026_meta,JOWa9kPyzw,8,substance,"This is an AC meta-review with hedged, idiosyncratic first-person reasoning ('it is unfortunately not clear to me', 'I suspect') and concrete references to spec"
2026_review,ihDq3voWKv,72,structure,"Highly symmetric bolded-category strengths/weaknesses scaffolding with fluent uniform prose; specifics (L=50, C=16) are shallow hyperparameter references rather"
2026_review,lhob1cbURr,82,substance,"Generic, symmetric bullet strengths/weaknesses restating the abstract with no figure/table/equation or baseline specifics; uniform phrasing like 'valuable insig"
2026_review,zeQ94V6mxe,76,structure,"Highly symmetric, fluent strengths/weaknesses scaffolding with generic 'lacks theoretical justification / doesn't analyze failure cases' critiques; only a coupl"
2026_meta,4hROuLWUT3,6,substance,"Meta-review with concrete reviewer IDs, score trajectories, an actual OpenReview link, and judgment calls about score reversion — highly specific, idiosyncratic"
2026_meta,lsxqdxkp6V,95,structure,"Fluent, uniformly structured meta-review summary with hedged 'projected to evolve' score speculation and generic balanced phrasing; specifics appear templated r"
2024_review,Jqu7Syimy1,22,substance,"Specific, opinionated critiques (venue misfit citing CHI/UIST, dataset size 466, skew toward web browsing) with idiosyncratic voice and typos ('annotated dat', "
2026_review,ZsxuDHzRqZ,72,structure,"Highly symmetric, uniformly fluent bulleted structure with bolded generic headers ('Limited Novelty in Method', 'Scalability and Cost') and questions phrased as"
2026_review,GAckadMeTc,15,substance,"Specific domain citations supplied by reviewer (Ozcelik 2025, arxiv links, Nature Comm Chem URL), pointed methodological critiques (5% hyperparameter tuning, S4"
2026_review,gfvcqqNmf2,18,substance,"Specific figure-number critiques (Figs 1,3,7 messy, Fig 5 gap), reviewer-supplied citation (Grokfast link), idiosyncratic markdown italics and conditional score"
2024_review,BLgmhQjU2n,3,substance,"Deep hands-on engagement: reviewer inspected supplementary CSV files, quoted specific MCTACO items, ran GPT-3.5/GPT-4 probes and pasted outputs, supplied a cita"
2024_review,oVuDaZLmJ5,78,substance,"Generic labelled strengths ('New algorithm design', 'Theoretical grounding', 'Empirical validation') restating the abstract with hedged, contentless weaknesses "
2026_meta,Q1ikRbHxcU,72,structure,"This is an AC meta-review with fluent, uniformly structured prose and summary-style scaffolding; though it cites specific reviewer IDs and concrete rebuttal poi"
2026_meta,xSaBY1i8Cq,8,substance,"Highly specific meta-review engaging with individual reviewer IDs, quoted weaknesses, and a substantive counterargument (Pong pixel irrelevance) plus typos ('co"
2026_review,UBgSIDgTn8,25,substance,"Reviewer supplies specific relevant citations (RL subnetworks, LIFT, DoRA) and raises concrete idiosyncratic concerns (fixed mask vs dynamic circuits); organize"
2026_meta,wZIMe3irDe,18,substance,"Meta-review with reviewer IDs, dates, typo 'benchmakrs', terse fragmented notes per reviewer"
2026_review,uyuobmeryO,82,structure,"Fluent, symmetric strengths/weaknesses that mirror the questions one-to-one, with generic praise ('figures and tables are of high quality') and no concrete sect"
2026_review,VwtDIFP3RH,5,substance,"Highly specific technical queries (Theorem 2.6, kernel M vs K, line 140-141 typos, Figure 4 datapoints, named citation HaoChen 2021) plus admitted limited exper"
2024_review,ROOCoIps1O,32,structure,"Fluent generic structure with some specific engagement (backtracking B hyperparameter, BPE baselines) and slightly non-native phrasing ('It is not clearly descr"
2026_meta,NbWeElAPjw,30,substance,"This is a meta-review/AC decision with concrete reviewer IDs and score trajectories; specifics suggest human, though the fluent summarizing tone is mildly gener"
2026_review,BFDhYEx19u,15,substance,"Cites specific named metrics (xCOMET, MetricX, M-Prometheus) and exact line numbers L502-503 as contradiction check; terse idiosyncratic labeling"
2024_review,BJfGVhUBQy,38,substance,"Specific named comparisons (Viewset Diffusion ICCV 2023, LRM) and a pointed dual-submission concern show real domain engagement, though the prose has some polis"
2026_review,zpE625MQ7r,72,structure,"Fluent, symmetric bolded strengths/weaknesses with generic category headers ('Limited technical novelty', 'Scalability concerns') and summary that restates the "
2024_review,mtZoviDhnh,6,substance,"Idiosyncratic specifics (Quark citation, 'the proposed method is 3 paragraphs', related work in appendix complaint, suggested beer/hotel datasets) and uneven vo"
2026_review,wAEM42fHU9,22,substance,"Specific engagement: cites exact lemma/theorem numbers in supplied references, Proposition 1/Eq. (5), Fig. 2, and asks pointed comparison to OLLIE; slight polis"
2026_review,yBYbXZkxyv,25,substance,"Specific engagement: cites line numbers (72-73), Equation 5 and the alpha term, SCA component, and supplies a concrete citation (Estornell et al., NeurIPS'24); "
2026_review,awot9K0kME,8,substance,"Specific, opinionated engagement with setup details (repeating ts_0, DPOT pretraining data, Table 2 scaling), reviewer-supplied citations, and idiosyncratic fir"
2026_review,fdeuO094O0,83,structure,"Highly symmetric, bulleted strengths/weaknesses scaffolding with generic checklist critiques (scale to 13B/70B, compute cost, error analysis); references to equ"
2024_review,Si9Bd6eCvy,8,substance,"Specific technical critique (volumetric error overlap, arbitrary 0.95/0.85 thresholds, run-to-run uncertainty), venue-fit judgment, slightly uneven human phrasi"
2024_review,w1DigYUnj6,15,substance,"Concrete specifics (v=0 initialization, Figure 1 p-range 0.1-0.5, dimension typo in Section 2.2) plus minor grammatical slips ('It would be to show', 'reply to "
2026_review,qvRtHLGXP5,72,structure,"Highly organised, symmetric strengths/weaknesses/questions scaffolding with fluent uniform prose; though it cites specific numbers (59.68% IAA, +0.8s), the ques"
2026_meta,rpjGDt7ibK,72,structure,"Meta-review with symmetric Addressed/Outstanding scaffolding and polished hedging phrases ('remains a research frontier', 'more a function of the training corpu"
2026_review,XnDxg2qrMS,4,substance,"Highly specific engagement (line numbers L798/L805/L348, named baselines Graph2Tac/Baldur/miniCTX, Table 1 query), idiosyncratic complaints and accusation that "
2026_meta,AOd5I4trAT,88,structure,"Uniform, templated meta-review scaffolding with fluent symmetric bullet structure and hedged score projections ('a move to Accept is logical'); specifics are al"
2026_review,cnbuIMUYDU,22,substance,"Idiosyncratic first-person voice with explicit expertise disclaimer, concrete engagement (quadratic loss d(x_t,f_t), Algorithm 1) and a slightly rambling, non-s"
2026_meta,TBLqw5t5PI,25,substance,"Concrete specifics (reviewer IDs mapped to concerns, exact GPU-hour numbers, score change 6->8) typical of an AC meta-review; organized but grounded in actual d"
2026_review,xTmEvvwbLJ,15,substance,"Idiosyncratic blunt voice with specific complaints (IMO2025 P6, Gemini-2.5-Pro, no hyperparameters), minor non-native phrasing ('let the LLM smarty allocate', '"
2026_meta,tKlfw4lMzX,73,structure,"This is a meta-summary rather than a review, but its uniform bulleted scaffolding ('Addressed by rebuttal' / 'Still outstanding'), fluent hedged phrasing ('legi"
2026_meta,iolU2utQVz,15,substance,"This is a meta-review/AC decision text with specific reviewer IDs, per-reviewer score trajectories, and idiosyncratic phrasing ('it is unfortunate that', 'datas"
2024_review,m4LugWYh5S,25,substance,"Idiosyncratic touches like third-person 'the reviewer', a parenthetical aside disclaiming need for experiments, and specific engagement with the NC-vs-feature-c"
2026_review,gJS8aIIDNP,48,substance,"Fluent, symmetric strengths/weaknesses with mostly generic methodological complaints (no error bars, no ablations), though it names DINO, GPT2, Imagenette and C"
2026_review,76Qu8vp8l2,26,substance,"Questions are highly specific to the paper (Section 4 metrics, Table 3 spread, quoted sentence about easy/hard labeling) with idiosyncratic typo 'juge'; reads l"
2026_meta,c7rgBm5Mse,72,structure,Meta-review-style summary with symmetric 'Addressed'/'Outstanding' scaffolding and uniformly fluent bullet prose; though it contains concrete specifics (InfoPro
2026_review,bXjmabgEsz,45,structure,"Highly structured, fluent review with many concrete numbers, table/figure/equation references, but also symmetric scaffolding, generic strength headers ('Concep"
2024_review,7T1yZ54H62,3,substance,"Reviewer supplies 7 specific citations with critique, section/page references, an unfinished sentence ('by mat.'), and idiosyncratic voice ('very very general')"
2026_review,GNd8u2ZtNu,3,substance,"Highly idiosyncratic, self-questioning engagement with specific line numbers, figures, and metric acronyms; non-native phrasing and rambling nested queries"
2026_review,TSSNScOVdd,68,vocabulary,"Fluent symmetric strengths/weaknesses with generic laudatory phrasing ('elegantly and generally', 'rigorous and convincing'), though questions cite specific the"
2026_meta,xg5zcRj6UG,80,structure,"This is an AC-style meta-summary with highly templated headers ('Concerns Largely Addressed by the Rebuttal' / 'Concerns Still Outstanding'), bolded label-then-"
2026_meta,G5v2PUklmv,16,substance,"Concrete specifics (reviewer IDs, named datasets, actual rebuttal content, AC's personal judgment 'I found both responses are not entirely satisfactory'), sligh"
2024_review,rmNsunao1r,4,substance,"Reviewer supplies specific external citations (McCraith BMVC 2020, Workman ICCV 2021, Uniformer, CBAM) and traces the architecture to concrete components, with "
2026_meta,GeOlTpV898,6,substance,"Idiosyncratic AC meta-review with specific process details (OpenReview incident, comparing revised PDF to original), hedged personal judgment, minor grammatical"
2026_review,vGqzP2qv2j,18,substance,"Reviewer supplies specific external URLs/citations (ContracTN workshop paper, TensorNetwork library, arXiv links) and idiosyncratic hedging ('I guess', 'I am cu"
2026_meta,JHCnYDLEmG,25,substance,"This is an AC meta-review, not a reviewer review; it has idiosyncratic third-person self-reference ('AC believes', 'he/she'), slightly non-native phrasing, and "
2026_meta,AcfjcGx9og,15,substance,"This is an area chair meta-review with concrete per-reviewer tracking, direct quotes from reviewer comments, and terse idiosyncratic labels ('Mostly addressed')"
2026_meta,zyO8fQXxXG,88,structure,"Fluent, uniformly structured meta-summary with hedged score-prediction boilerplate ('likely shifts modestly upward (e.g., 4 → 4/6)') and symmetric addressed/out"
2026_review,4sznODAUU2,18,substance,"Highly specific engagement: line numbers, equation numbers (7, 18, 19), Figure 2/4, external DGIdb URL, and idiosyncratic phrasing ('let me know if I have misun"
2024_review,abFDI1qBqA,18,structure,"Idiosyncratic hedged phrasing ('appears to be', 'USP', 'may be a better fit as a longer form journal paper'), uneven structure with critique embedded in strengt"
2026_review,AeHQ6tIHvZ,62,structure,"Fluent, uniformly structured summary/strengths/weaknesses with mostly generic content; but the single focused weakness (backbone coupling) and repeated question"
2024_review,HQgIETQgjZ,45,substance,"Summary is fluent and abstract-restating with LLM-ish phrasing, but weaknesses show repetitive human-templated questioning, non-native phrasing ('as I said befo"
2024_review,n5HqHA0Rtn,18,substance,"Substantive idiosyncratic critique (benchmark vs dataset distinction), specific terminology, personal voice ('I find it'), non-symmetric structure"
2026_review,x1yybzo43y,68,structure,"Symmetric bolded-header strengths/weaknesses scaffolding with uniform fluent prose and generic framing ('Clear motivation and timely problem'), though a few con"
2024_review,cBgOaqpLHi,20,substance,"Typos ('rogirous', 'satifies'), reviewer-supplied specific citations (LDS, NodeFormer) with pointed dataset-split queries, idiosyncratic focus on 'universal' in"
2026_meta,5swE3iyS0h,26,substance,"Bolded section scaffolding is generic, but content is highly specific (RFdiffusion partial diffusion, ProteinMPNN, MSA masking, Figure 1, counts of added proble"
2026_meta,kb0BQSY6Nx,15,substance,"Meta-review with typos ('expecdt','Clarifcation'), specific reviewer IDs, concrete outstanding issues (22Hz claim, LAPA/UVA baselines), terse uneven phrasing"
2026_meta,j98WntYvun,78,substance,"Fluent, uniformly structured meta-review summarizing consensus with generic phrasing ('not yet ready for publication', 'plug-and-play nature was noted') and alm"
2026_review,JiQL353hJ8,72,structure,"Fluent, uniformly polished prose with hedged generic critique templates ('While the paper presents a clear and well-motivated formulation, its degree of theoret"
2026_meta,RQmQd5jvKh,25,substance,"This is a meta-review/AC summary with concrete reviewer IDs and per-reviewer disposition notes, plus hedged human speculation about score changes; fluent but sp"
2024_review,UDPeY1s53M,65,structure,"Question 3 is a bulleted, bolded-label taxonomy (Geographic Diversity / Cultural Factors / Environmental Factors / Regulatory / Socio-Economic) of generic, cont"
2026_review,8W7tYN2IRU,25,substance,"Review is fluent and well-structured but centers on a specific, substantive scholarly complaint (missing citation to Diaa et al. 2025, DPO vs GRPO distinction) "
2026_review,41Uj2NQLsc,25,substance,"Idiosyncratic, repetitive personal voice with recurring hobbyhorse (theoretical insight into convergence) and first-person hedging; lacks generic symmetric LLM "
2024_review,K3ytcJTLvi,22,substance,"Specific, sustained critique of a single issue (baseline choice) referencing Table 6 ablation and figures, with a concrete question; not symmetric scaffolding"
2024_review,4ojxgiCbGP,4,none,"Truncated unfinished sentence ('the graphs and tables were'), idiosyncratic judgments (55-80 accuracy not strong), personal opinion voice"
2024_review,NdzM5l44H3,30,substance,"Strengths section is inflated generic prose (possibly LLM-polished), but weaknesses/questions cite specific equation (7), Figure 3(b), verbatim paper quotes, an"
2026_review,fsH5VjTH00,68,structure,"Highly symmetric bolded-header weakness scaffolding with fluent, uniformly-paced generic critique; though a human-supplied URL citation and idiosyncratic 'hardw"
2026_meta,bz1RFuw7IP,92,structure,"Meta-summary written in fluent, hedged, symmetric prose ('addressed most... however, some higher-level concerns remain partially outstanding'), with generic agg"
2026_meta,d6ISRDfKHn,25,substance,"This is a meta-review/AC summary with concrete reviewer IDs, per-reviewer score trajectories, and specific unresolved technical points (guardrail+rejection samp"
2026_review,8VPXuTtQRl,25,substance,"Very specific line-number and equation-level complaints (line 110/111/114/149, Eq.(2) vs Eq.(3), lines 180-190) plus opinionated venue-fit argument suggest genu"
2026_meta,TiwexYj6oL,22,substance,"Idiosyncratic AC voice with specific reviewer IDs, concrete technical points (chi-square divergence, DeepSea replacing GridWorld), and slightly ungrammatical te"
2026_review,K3MOFGKDqA,12,substance,"Specific engagement with table numbers, the alpha hyperparameter value, and in-domain contamination concerns; slightly non-native phrasing and bullet dashes"
2024_review,znBcf7Y5Ov,6,substance,"Highly specific notation-level nitpicks (r_a vs u_a on page 4, phi_targ in eq. 2, w_i overloading) plus Figure 5 critique and a targeted question about Figure 2"
2024_review,kwUsdr80Fe,3,substance,"Specific engagement with Section 1.1 quoted text, reviewer-supplied citation, speculation about COCO data sources, idiosyncratic uncertainty"
2026_meta,6XM5sCoZhQ,72,structure,"Highly organized meta-summary with uniform rhythm and symmetric concern-by-reviewer scaffolding, though it contains many concrete specifics (PSNR numbers, revie"
2024_review,exJuX8OLwW,5,substance,"Idiosyncratic, opinionated voice with concrete pointers (Algorithm 1, Eq 9, page 6, blurry base results) and uneven phrasing"
2026_review,Y2wdsVGRiU,25,substance,"Highly specific technical critiques (0% GPQA result for LLaMA 3.2 8B, notation collision on \hat{A}, mismatch between Line 341 and Table 2) indicate genuine rea"
2024_review,9zQ8j27dqE,3,substance,"Idiosyncratic first-person uncertainty ('I did not fully understand the intuition'), specific figure references, and a substantive missing-baseline argument in "
2026_meta,fg3dtYix03,32,substance,"Meta-review with concrete per-reviewer specifics (Tab. 3, Multi-Adds, seeds/batch sizes) and slightly non-native phrasing ('we can safely believe'), though the "
2026_meta,52jMbCqgDp,93,structure,"Uniformly templated bulleted meta-review with symmetric 'addressed/outstanding' scaffolding, hedged projected-score speculation, and fluent generic prose lackin"
2026_meta,IZpH8zSnZR,88,structure,"Uniform, fluent meta-summary prose with symmetric hedged scaffolding ('While some skepticism... may persist, the rebuttal substantially improves clarity, motiva"
2026_review,JyEoIHn3g6,6,substance,"Specific engagement (Fig.3, GDE metric, Flux.1-dev latency anomaly), non-native phrasing 'we highly doubt', and a typo ('Albert Attention') indicate human draft"
2026_review,sZFCdpmKJM,22,substance,"Concrete specifics: figure 3 x-axis, figure 6 dynamics, notation r(·) in line 157 vs equation (2); slightly non-native phrasing ('posting training', 'shown unde"
2024_review,1YPycJpAX9,3,substance,"Specific equation references, reviewer-supplied citation (AAAI-2019 paper), idiosyncratic skepticism and post-rebuttal personal remarks"
2024_review,UJv05L37g9,3,substance,"Idiosyncratic argumentative voice with specific conceptual critique (vector neurons vs EMLP framing, 'tensor neurons' naming suggestion) and technically precise"
2026_meta,8RwTJ6keCO,88,structure,"Meta-review-style text with fluent, uniformly balanced summary language ('did a solid job addressing', 'core novelty concerns remain partially outstanding') and"
2026_review,48ir84WGz1,68,structure,"Fluent, uniformly structured review with equation-number references (some plausibly real) but heavy generic scaffolding, em-dash usage, and formulaic multi-part"
2026_meta,UX00I1MD6T,78,structure,"Fluent, uniformly structured meta-summary with hedged consensus estimation and symmetric bullet scaffolding; specifics are reviewer IDs/scores rather than paper"
2026_review,xLrkas5vCp,32,substance,"Named baselines (B-MoCA, AndroidLab) and specific, non-generic critiques about essential-state stochasticity and missing artifact release; but tidy bulleted sym"
2026_review,oAp9fZj7Ix,66,structure,"Fluent, symmetric strengths/weaknesses scaffolding with generic critique templates (restrictive Gaussian assumptions, only L2 vs L1/dropout/early stopping, 'a m"
2024_review,4UThY7X0zr,72,structure,Fluent paraphrase-heavy summary and strengths written as generic numbered 'the paper adopts/employs/challenges' scaffolding with no concrete figure/table refere
2026_meta,nFvi20mKgW,35,substance,"Fluent, well-organized meta-review but with concrete, specific engagement (named reviewer IDs, specific technical concern about g(A)/g(B) auxiliary nets and par"
2026_meta,x4gblLRgto,88,structure,"This is a meta-review-style synthesis with uniform bulleted scaffolding, symmetric 'Addressed/Outstanding' sections, and fluent generic summarization; specifics"
2026_review,qtMhn9MRxT,4,substance,"Highly specific engagement (line numbers for typos, citation-count audit alleging self-citation by a named author, Figure 1 axis question, VACE reference) with "
2026_meta,EYRfUOEB4k,38,structure,"This is a meta-summary of reviews rather than a review itself; it contains specific reviewer IDs, section/table references and differentiated per-reviewer stanc"
2026_review,eUnrjl1IJn,78,substance,"Fluent, uniformly-structured critique with generic weaknesses (novelty, lack of analysis, weak baselines, formatting) and hedged phrasing like 'The authors are "
2024_review,Cni0jT6B1b,3,substance,"Idiosyncratic first-person voice, specific citations supplied by reviewer (Karimi recourse, Geiger 2021 vs 2022, CUB-200 suggestion), apologetic hedging and gen"
2026_review,zlPl28pK5N,15,substance,"Names specific datasets (BDD-X, Rank2Tell, WOMD-Reasoning) and Waymo licensing concern; slightly awkward non-native phrasing ('I hope the authors to')"
2026_review,PY5E4cM3NW,25,substance,"Reviewer supplies specific external citations (CompoDiff/SynthTriplets18M, an ICML 2024 paper by title), points to Table 2 and line 323, and notes duplicate bib"
2026_meta,u7shPBPB6P,72,structure,"This reads as a meta-review/AC summary with fluent, uniformly structured prose and generic paraphrase of reviewer positions; specifics are limited to reviewer I"
2026_meta,XwLkR1m3ZO,58,structure,"Templated meta-review with uniform per-reviewer summary clauses and generic bulleted concerns, though a garbled sentence ('Despite some empirical results, and t"
2024_review,ApiuYrFzpt,22,substance,"Supplies specific citations and concrete technical challenges (1/depth vs 1/sqrt(depth), rezero, epoch count skepticism) with idiosyncratic voice; summary prose"
2026_review,14xtVX9S92,32,substance,"Reviewer supplies specific prior-work citations (LE, CoNHD) and builds a focused, consistent critique around them, including named datasets; polish and bolded h"
2026_meta,eDHXKpOo8j,80,structure,"Highly uniform, fluent meta-review scaffolding with symmetric per-reviewer bullet summaries and formulaic phrasing ('fully addressing', 'substantially mitigated"
2024_review,Bw1kdGHSqo,6,substance,"Highly specific catches (ours-3 vs ours-32 mismatch in Figure 2, inconsistent Table 2/3 numbers, H'/W' typo on page 7), reviewer-supplied citations, and slightl"
2026_review,pLDVqGw5Gz,4,substance,"Highly specific technical questions citing Eq. (4), Algorithm 1 line 1, Figures 9-11 including a spotted typo ('Instrution'), plus a concrete alternative baseli"
2024_review,3e5R65wej6,22,substance,"Specific named baseline (Multi-FLGAN), idiosyncratic 'we look forward to' phrasing and slightly non-native English, terse uneven weaknesses"
2024_review,Yeh2lBfZxA,26,substance,"Specific concrete criticisms (Figure 1(b) caption mismatch, pre-2018 baselines, supplied survey citation) plus slightly awkward human phrasing and a personal cl"
2026_review,Ksi2xkacbd,6,substance,"Deep, specific technical disagreement with the paper's core theoretical claim, referencing specific prior works the reviewer supplies, line numbers, and express"
2026_meta,k8L0ab15xR,88,structure,"This is a meta-review/AC-summary style text with highly uniform, fluent prose, formulaic hedging ('is expected to maintain his/her score'), symmetric per-review"
2026_meta,5obweR1Gg6,62,structure,"Fluent, symmetric 'Concerns Addressed / Outstanding' scaffolding with generic phrasing, though the parenthetical aside about not finding rebuttal results and na"
2026_review,GbtrhQvBnn,68,structure,"Highly symmetric numbered strengths/weaknesses with generic asks (theoretical conditions, information-theoretic grounding, statistical significance, failure cas"
2024_review,qqcXWHOv1v,83,structure,"Uniformly fluent, padded prose with generic hedged phrasing ('It is important to note', 'It is crucial to acknowledge'), symmetric strengths/weaknesses scaffold"
2024_review,5zeWMB8Qhz,5,substance,"Reviewer supplies own citations (with arXiv links, including a duplicated link typo), specific page/appendix references, idiosyncratic phrasing like 'A minor ni"
2026_review,f8r87RpVA0,42,structure,"Fluent symmetric strengths/weaknesses with mostly generic critiques, but mentions a specific baseline (invSR) and concrete metric-level observations"
2026_meta,PYO8ejttj6,72,structure,"This is a meta-review/AC summary with fluent, uniformly structured prose and generic phrasing ('unanimous recognition of the manuscript's novelty, theoretical r"
2024_review,kFAvMqpsJI,18,substance,"Terse, uneven weaknesses with a specific table reference and reviewer-supplied citation; slightly non-native phrasing"
2024_review,nCUH7K1COq,75,structure,"Fluent, symmetric strengths/weaknesses with generic praise ('impeccably articulated', 'meticulously conduct') and a questions section that merely restates each "
2024_review,LTKA4St3Jv,18,substance,"Specific technical critiques (bounded gradient vs bounded variance assumptions, 2m/b query overhead, missing wall-clock plots) with terse idiosyncratic phrasing"
2024_review,u1iWORFKrC,30,substance,"Fluent symmetric summary/strengths/weaknesses but with a specific, idiosyncratic and repeated concern (cost, open-source models) and slightly uneven phrasing ('"
2026_meta,gjj0fg775H,4,substance,"Highly specific engagement with individual reviewer IDs, quoted discussion-board comments, score arithmetic, and personal judgment ('I agree that there is still"
2026_meta,lb7bFWD5Jh,55,structure,"This is a meta-review/summary rather than a review; fluent, symmetric per-reviewer summarization with generic phrasing ('constructive and addresses the main con"
2026_meta,lWSFQKtKgC,93,structure,"Meta-review-style synthesis with uniform, symmetric per-reviewer scaffolding and formulaic score-prediction/recommendation prose; fluent but templated"
2026_review,NgmT1m9Ij2,22,substance,"Focused, idiosyncratic complaint repeated with informal phrasing ('toe-to-toe', 'feels contrived') and non-native-style constructions; minimal symmetric scaffol"
2024_review,2XweSRajLh,25,substance,"Reviewer supplies specific citations (DiffCSP, COMs), concrete dataset-size critique (26 materials), and a pet-peeve minor note on citation parenthesization; st"
2026_meta,ufVekWmaIl,72,structure,"Heavily templated meta-review with bolded scaffolding, uniform bullet phrasing, and symmetric 'addressed/outstanding' structure; though it does cite specific re"
2026_meta,eis50WAnfv,25,substance,"This is an AC meta-review summarizing reviews, with concrete reviewer IDs and specific section/dataset references (Section 3.2/3.3, MMEB-V2); attribution-tagged"
2026_review,lL1nDi87iZ,25,substance,"Highly specific cross-references to internal inconsistencies (β_max ranges in Appendix A.2.1 vs main text, d vs p_drop notation, 10 vs 50 steps in A.6.2) show g"
2024_review,1Gg9o4uHE6,8,substance,"Specific engagement with propositions, equation numbers, notation (G_theta_b, Delta_b), typo 'lolcated', and non-native phrasing suggest a human reviewer"
2026_meta,kT6DeWtbg7,8,substance,"Specific engagement with technical detail (reward normalization = subtracting 1), an unprompted citation to Ng et al. 1999 potential-based shaping, and hedged p"
2024_review,VfkRaiSlkl,15,substance,"Specific critical engagement (named citation He et al. 2023a, KL-ablation request, barren plateau concern) with idiosyncratic voice ('I don't mind changing my m"
